温馨提示,#genre#
以下直播资源 纯属免费分享,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ClrGcU&tk=gHjFmycJxUNM
不要相信直播源 里面的广告,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OmneSi&tk=gHjFmycJxUNM
不要相信直播源 里面的QQ号,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NImeRi&tk=gHjFmycJxUNM
纯属娱乐 如果被骗后果自负,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6kNTxi&tk=gHjFmycJxUNM
MyTV测试,#genre#
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AJhp6n&tk=gHjFmycJxUNM
明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zwsIZ4&tk=gHjFmycJxUNM
無綫新聞台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QH3PEP&tk=gHjFmycJxUNM
娛樂新聞台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=67eP6A&tk=gHjFmycJxUNM
myTV SUPER 18台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7I0stD&tk=gHjFmycJxUNM
PopC,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HYoDsT&tk=gHjFmycJxUNM
中國電影頻道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KVXyGY&tk=gHjFmycJxUNM
亞洲劇台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DYKXId&tk=gHjFmycJxUNM
功夫台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UOMptL&tk=gHjFmycJxUNM
千禧經典台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LK7u5j&tk=gHjFmycJxUNM
天映经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XnUThC&tk=gHjFmycJxUNM
戲曲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wkHR1e&tk=gHjFmycJxUNM
星河频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3UiG7z&tk=gHjFmycJxUNM
粵語片台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sPVPvz&tk=gHjFmycJxUNM
美亞電影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Z6nMIy&tk=gHjFmycJxUNM
華語劇台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=00BNgs&tk=gHjFmycJxUNM
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9J6m02&tk=gHjFmycJxUNM
黄金华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y8B6n6&tk=gHjFmycJxUNM
极速港台,#genre#
凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bN0unU&tk=gHjFmycJxUNM
凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Kpkx9z&tk=gHjFmycJxUNM
凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zZa1aC&tk=gHjFmycJxUNM
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CZ8imK&tk=gHjFmycJxUNM
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gsO8Fy&tk=gHjFmycJxUNM
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wE9WNd&tk=gHjFmycJxUNM
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dwHEg9&tk=gHjFmycJxUNM
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=J3bRIQ&tk=gHjFmycJxUNM
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cvQlis&tk=gHjFmycJxUNM
PopC电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ztFDwF&tk=gHjFmycJxUNM
天映经典(港),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=E413D0&tk=gHjFmycJxUNM
星空卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UGNpLn&tk=gHjFmycJxUNM
星空电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nxwDQx&tk=gHjFmycJxUNM
凤凰电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RAJRrx&tk=gHjFmycJxUNM
Now新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qNyNaG&tk=gHjFmycJxUNM
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CHuBCX&tk=gHjFmycJxUNM
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=silfvO&tk=gHjFmycJxUNM
Now华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2G6FcG&tk=gHjFmycJxUNM
Now紫金台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eOhDQW&tk=gHjFmycJxUNM
